fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,21.4,,1.02,1.16,,,,2,4,2,4,1,4,4,371,3,,,,,,,,,,,,2,,2399,2201,2021-07-24,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.719,0.66,0,
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,,other,22.8,,1.09,1.22,,,,2,4,2,4,1,4,4,742,0,,,,0,,,,0,,,,6,,3427,2846,2021-07-24,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.608,0.505,0,
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.049,other,28.6,,1.39,0.2,,,0.87,3,1,3,4,2,4,3,32165,180,,,,1149,482,25,0.66,48,42,6,0.71,155,,158008,135384,2021-07-24,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.549,0.47,1,
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.024,other,26.4,,1.52,0.88,,,,3,0,3,4,3,4,4,3968,22,,,,37,,,0.4,0,,,,18,,10256,9419,2021-07-24,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.558,0.512,0,
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,939.8,,1.48,0.68,,,,5,4,5,4,3,4,4,713,3,,,,,,,,,,,,0,,,,2021-07-24,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,6.8,,,,,,,1,4,1,4,4,4,4,114,0,,,,,,,,,,,,1,,1005,887,2021-07-24,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.479,0.423,0,
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,,other,23.2,,,,,,,2,4,2,4,4,4,4,241,2,,,,18,,,0.15,0,,,,3,,2118,1940,2021-07-24,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.431,0.395,0,
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.021,other,7.5,,1.4,0.74,,,0.68,2,0,1,4,2,4,0,8086,44,,,,175,45,1,0.46,13,8,0,0.66,25,,44571,39768,2021-07-24,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.46,0.411,0,
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,28,0,,,,,,,,,,,,0,,1548,1486,2021-07-24,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.612,0.587,0,
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1408,1316,2021-07-24,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.655,0.613,0,
