fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.066,other,26.7,0.24,1.5,0.13,0.27,16,actual,71,actual,0.66,3,1,3,1,3,0,0,73193,367,114574,2458358,235,1853,1107,64,0.58,131,87,16,0.676923076923,439,848165,372132,330406,2021-07-24,https://covidactnow.org/us/alaska-ak,0.509,0.452,2,690518
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.155,other,25.2,0.07,1.44,0.1,0.31,132,actual,1254,actual,0.82,3,2,3,2,3,0,2,564678,11472,560234,4259706,404,19167,11716,478,0.6,1681,1386,132,0.7,1733,4979270,2041597,1663031,2021-07-24,https://covidactnow.org/us/alabama-al,0.416,0.339,4,3494892
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.102,other,46.1,0.11,1.29,0.1,0.46,227,actual,529,actual,0.74,3,2,3,1,2,0,1,372313,6041,247884,2693659,790,13284,7051,682,0.55,1024,756,227,0.61,1987,2937300,1352937,1077347,2021-07-24,https://covidactnow.org/us/arkansas-ar,0.448,0.357,6,2363840
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.106,other,15.7,0.07,1.23,0.1,0.11,129,actual,1014,actual,0.52,2,2,2,2,2,0,0,912791,18144,926742,7534559,396,18286,12142,722,0.6,2209,1143,129,0.829018663456,1479,8399110,3798435,3259542,2021-07-24,https://covidactnow.org/us/arizona-az,0.522,0.448,7,7001414
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.046,other,15.5,0.35,1.43,0.1,0.18,430,actual,4520,actual,0.72,3,1,2,1,3,0,1,3898271,64219,3851582,57809147,10600,99574,49470,2175,0.6,6867,4950,430,0.59,8933,50392775,25192441,20594557,2021-07-24,https://covidactnow.org/us/california-ca,0.638,0.521,45,44467248
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.036,other,9.4,0.48,1.1,0.1,0.22,106,actual,805,actual,0.7,1,1,1,1,1,0,0,572272,7062,556760,7961025,1300,13464,8161,392,0.63,1294,911,106,0.8043135192,535,7187115,3429442,3101062,2021-07-24,https://covidactnow.org/us/colorado-co,0.596,0.538,6,6397692
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.02,other,5.5,0.88,1.4,0.12,0.03,13,actual,533,actual,0.52,2,0,1,1,2,0,0,351213,8286,476365,9194627,860,8238,6590,71,0.68,1052,546,13,0.65,212,4863135,2459243,2235296,2021-07-24,https://covidactnow.org/us/connecticut-ct,0.69,0.627,0,4542075
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.024,other,6.5,1.17,1.4,0.27,0.09,6,actual,260,actual,0.81,2,0,1,0,2,0,2,49973,1146,70304,2049828,268,4623,2796,55,0.76,330,266,6,0.8289855072460001,43,1085455,445987,382668,2021-07-24,https://covidactnow.org/us/district_of_columbia-dc,0.632,0.542,0,892280
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.031,other,5.4,0.8,1.22,0.23,0.09,3,actual,152,actual,0.83,2,1,1,1,2,0,2,110638,1698,127050,2081719,211,4052,2619,41,0.71,187,155,3,0.73,65,1317085,583147,507392,2021-07-24,https://covidactnow.org/us/delaware-de,0.599,0.521,1,1076063
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.153,other,48.7,0.05,1.49,0.1,0.4,864,actual,4378,actual,0.8,3,2,3,2,3,0,1,2476105,38714,3008999,29156997,2600,76852,47077,4148,0.76,6512,5242,864,0.76,27514,25715155,12063754,10342062,2021-07-24,https://covidactnow.org/us/florida-fl,0.562,0.482,148,22067267
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.079,other,15.3,0.19,1.41,0.1,0.24,196,actual,1896,actual,0.77,3,1,2,1,3,0,1,1132526,20917,853147,8092109,1570,29899,17872,976,0.68,2701,2092,196,0.815056720523,2419,11510325,4785044,4037959,2021-07-24,https://covidactnow.org/us/georgia-ga,0.451,0.38,8,8748752
